To,Location,I/O Standard
LED[9],PIN_L1,3.3-V LVTTL
LED[8],PIN_L2,3.3-V LVTTL
LED[6],PIN_U2,3.3-V LVTTL
LED[7],PIN_U1,3.3-V LVTTL
SWITCH[9],PIN_AB12,3.3-V LVTTL
LED[5],PIN_N1,3.3-V LVTTL
SWITCH[7],PIN_AA13,3.3-V LVTTL
SWITCH[8],PIN_AB13,3.3-V LVTTL
BUTTON_N[2],PIN_M7,3.3-V LVTTL
LED[4],PIN_N2,3.3-V LVTTL
CLK50MHZ,PIN_M9,3.3-V LVTTL
BUTTON_N[1],PIN_W9,3.3-V LVTTL
SWITCH[3],PIN_T12,3.3-V LVTTL
SWITCH[4],PIN_AA15,3.3-V LVTTL
LED[3],PIN_Y3,3.3-V LVTTL
VGA_RED[1],PIN_B10,3.3-V LVTTL
VGA_RED[0],PIN_A9,3.3-V LVTTL
BUTTON_N[0],PIN_U7,3.3-V LVTTL
VGA_RED[2],PIN_C9,3.3-V LVTTL
VGA_RED[3],PIN_A5,3.3-V LVTTL
VGA_GREEN[0],PIN_L7,3.3-V LVTTL
SWITCH[1],PIN_V13,3.3-V LVTTL
SWITCH[2],PIN_T13,3.3-V LVTTL
SWITCH[6],PIN_AA14,3.3-V LVTTL
LED[0],PIN_AA2,3.3-V LVTTL
VGA_GREEN[1],PIN_K7,3.3-V LVTTL
LED[1],PIN_AA1,3.3-V LVTTL
VGA_GREEN[3],PIN_J8,3.3-V LVTTL
VGA_BLUE[2],PIN_A8,3.3-V LVTTL
LED[2],PIN_W2,3.3-V LVTTL
SWITCH[0],PIN_U13,3.3-V LVTTL
SWITCH[5],PIN_AB15,3.3-V LVTTL
VGA_GREEN[2],PIN_J7,3.3-V LVTTL
VGA_BLUE[3],PIN_A7,3.3-V LVTTL
VGA_BLUE[1],PIN_B7,3.3-V LVTTL
VGA_BLUE[0],PIN_B6,3.3-V LVTTL
VGA_HS,PIN_H8,3.3-V LVTTL
VGA_VS,PIN_G8,3.3-V LVTTL
PS2_KBDAT,PIN_G2,3.3-V LVTTL
PS2_KBCLK,PIN_D3,3.3-V LVTTL
#UART_TXD,PIN_U21,3.3-V LVTTL
#UART_RXD,PIN_U22,3.3-V LVTTL
#UART_CTS,PIN_V21,3.3-V LVTTL
#UART_RTS,PIN_V22,3.3-V LVTTL
